Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Straubing,https://www.agriaffaires.co.uk/pros/list/683016-0/1/baywa-ag-gmz-straubing.html,Dealer/ Distributor,"Germany - Straubing
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",104 ads,Sensfelder Straße 34,94315,Straubing - Germany,Straubing (BY), Straubing (BY), Straubing (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROM AGRARTECHNIK GMBH,https://www.agriaffaires.co.uk/pros/list/490729-0/1/agrom-agrartechnik-gmbh.html,Dealer/ Distributor,"Germany - Schutterzell
                                                    (BW)
                                                                        
                            (One other address)",,100 ads,Auf dem Pfahl 4,77974,Meißenheim-Kürzell - Germany,Meißenheim-Kürzell (BW), Schutterzell (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen Technik Ostküste GmbH,https://www.agriaffaires.co.uk/pros/list/416018-0/1/raiffeisen-technik-ostkuste-gmbh.html,Dealer/ Distributor,"Germany - PREETZ
                                                    (SH)
                                                                        
                            (7 other addresses)","Valtra,                                                                             Claas,                                                                             New Holland,                                                                             Fendt,                                                                             John Deere,                                                                             Case,                                                                             Lemken,                                                                             Deutz,                                                                             Köckerling,                                                                             Krampe",100 ads,Rosseer Weg 19-21,24340,Eckernförde - Germany,Eckernförde (SH), EUTIN (SH), Eisendorf (SH), Kiel (SH), Wanderup (SH), PREETZ (SH), Sterup (SH), Niebüll (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVD Bernard Krone GmbH Zorbau,https://www.agriaffaires.co.uk/pros/list/218102-0/1/lvd-bernard-krone-gmbh-zorbau.html,Vehicle/equipment Wholesale,"Germany - Zorbau
                                                    (ST)
                                                                        
                            (4 other addresses)","Claas,                                                                             New Holland,                                                                             Fendt,                                                                             John Deere,                                                                             Krone,                                                                             Case,                                                                             Lemken,                                                                             Weidemann,                                                                             Horsch,                                                                             Kramer",100 ads,Hallesche Str. 15,6679,Zorbau - Germany,Zorbau (ST), Schmölln (ST), Sülfeld (SH), Teutschenthal (ST), Zorbau (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/171671-0/1/lva-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Sülzetal OT Altenweddingen
                                                    (ST)
                                                                        
                            (One other address)",,100 ads,Buttenkrug 1,39171,Sülzetal OT Altenweddingen - Germany,Sülzetal OT Altenweddingen (ST), Sülzetal OT Altenweddingen (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schlichting Landmaschinen,https://www.agriaffaires.co.uk/pros/list/50678-0/1/schlichting-landmaschinen.html,Dealer/ Distributor,"Germany - Marxen
                                                    (NI)
                                                                        
                            (2 other addresses)",John Deere,99 ads,Hauptstraße 10,21439,Marxen - Germany,Marxen (NI), Marxen (NI), Soltau (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUMA Nutzfahrzeuge GmbH,https://www.agriaffaires.co.uk/pros/list/1768726-0/1/gruma-nutzfahrzeuge-gmbh.html,Dealer/ Distributor,"Germany - Friedberg-Derching
                                                    (BY)
                                                                        
                            (One other address)",Mercedes-Benz,99 ads,Daimlerstraße 4,85748,Garching bei München - Germany,Garching bei München (BY), Friedberg-Derching (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMME GMBH & CO. KG,https://www.agriaffaires.co.uk/pros/list/53308-0/1/grimme-gmbh-co-kg.html,Manufacturer,"Germany - Uelzen
                                                    (NI)
                                                                        
                            (8 other addresses)","Grimme,                                                                             Asa-Lift,                                                                             Kleine",97 ads,Hunteburger Str. 32,49401,Damme - Germany,Damme (NI), Sorø (DK), Altona (AU), Tianjin (CN), Roeselare (BE), Roeselare (BE), Ballyboughal (DU), Salzkotten (NI), Damme (NI), JV Zwolle (NL), Środa Wielkopolska (PL), Rødkærsbro (DK), Rødkærsbro  (DK), Nevşehir (TR), Nevsehir (TR), Lincolnshire (1LI), Lincolnshire  (GB), Uelzen (NI), Uelzen (NI), Uelzen (NI), Langquaid (NI), . (KZ), Engter (NI), . (SK), Customer (SI), . (ES), Presque Isle (US), Alpen (NI),,,,,,,,,,,,,
Schütz Landmaschinen OHG,https://www.agriaffaires.co.uk/pros/list/213176-0/1/schutz-landmaschinen-ohg.html,Vehicle/equipment Wholesale,"Germany - Schierling
                                                    (BY)",Claas,96 ads,Oberdeggenbach 81,84069,Schierling - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Erbach,https://www.agriaffaires.co.uk/pros/list/683044-0/1/baywa-ag-gmz-erbach.html,Dealer/ Distributor,"Germany - Erbach
                                                    (HE)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",96 ads,Riedmühle 1,89155,Erbach - Germany,Erbach (HE), Erbach (HE), Erbach (HE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Aebi Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/538170-0/1/robert-aebi-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Losheim am See
                                                    (SL)
                                                                        
                            (4 other addresses)","Claas,                                                                             Deutz-Fahr,                                                                             John Deere,                                                                             Massey Ferguson,                                                                             Steyr,                                                                             Caterpillar,                                                                             Komatsu,                                                                             Volvo,                                                                             Kuhn,                                                                             Case,                                                                             Saphir,                                                                             Reisch",95 ads,Dr.-Oetker-Str. 20,54516,Wittlich - Germany,Wittlich (RP), Losheim am See (SL), Hillesheim-Bolsdorf (RP), Wölfersheim (RP), Simmern (RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS VERTRIEBSGES. MBH GMZ HOCKENHEIM,https://www.agriaffaires.co.uk/pros/list/23876-0/1/claas-vertriebsges-mbh-gmz-hockenheim.html,Dealer/ Distributor,"Germany - Hockenheim
                                                    (BW)
                                                                        
                            (One other address)",Claas,93 ads,"FIRST CLAAS USED Center
                                                                    Talhausstrasse 8",68766,Hockenheim - Germany,Hockenheim (BW), Hockenheim (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Schönau,https://www.agriaffaires.co.uk/pros/list/682997-0/1/baywa-ag-gmz-schonau.html,Dealer/ Distributor,"Germany - Tuntenhausen
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",92 ads,Hohenthanner Str. 4,83104,Tuntenhausen - Germany,Tuntenhausen (BY), Schönau bei Tuntenhausen (BY), Tuntenhausen (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Engbers Söhne GmbH,https://www.agriaffaires.co.uk/pros/list/158755-0/1/e-engbers-sohne-gmbh.html,Dealer/ Distributor,"Germany - Uelsen
                                                    (NI)
                                                                        
                            (2 other addresses)","Case IH,                                                                             JCB,                                                                             Steyr,                                                                             Pöttinger,                                                                             Siloking,                                                                             Veenhuis,                                                                             Ploeger,                                                                             Schuitemaker",86 ads,Itterbecker Strasse 39,49843,Uelsen - Germany,Uelsen (NI), Uelsen (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Machinery Deutschland GmbH,https://www.agriaffaires.co.uk/pros/list/1715064-0/1/titan-machinery-deutschland-gmbh.html,Dealer/ Distributor,"Germany - Burkau
                                                    (SN)
                                                                        
                            (9 other addresses)",,86 ads,"Säuritzer Straße 1-2
                                                                    Gewerbegebiet West",1906,Burkau - Germany,Burkau (SN), Bad Freienwalde (SN), Burkau (SN), Freiberg (SN), Gützkow (SN), Gingst / Rügen (SN), Gülzow-Prüzen OT Mühlengeez (SN), Bandenitz OT Radelübbe (SN), Rollwitz (SN), Burkau (SN), Vienna Airport (AT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steinhage Landtechnik Prenzlau GmbH,https://www.agriaffaires.co.uk/pros/list/128994-0/1/steinhage-landtechnik-prenzlau-gmbh.html,Dealer/ Distributor,"Germany - Boitzenburger Land
                                                    (MV)
                                                                        
                            (2 other addresses)","Claas,                                                                             Kverneland,                                                                             Amazone,                                                                             Lemken,                                                                             Weidemann,                                                                             Stihl,                                                                             Strautmann,                                                                             Köckerling,                                                                             DeLaval,                                                                             Bednar,                                                                             Stiga",84 ads,"Am Damm 1
                                                                    OT Schmarsow",17309,Rollwitz - Germany,Rollwitz (MV), Boitzenburger Land (MV), Prenzlau (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Jengen,https://www.agriaffaires.co.uk/pros/list/683054-0/1/baywa-ag-jengen.html,Dealer/ Distributor,"Germany - Sauerlach
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",82 ads,Gewerbestrasse,86860,Jengen - Germany,Jengen (BY), Jengen (BY), Sauerlach (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Manching,https://www.agriaffaires.co.uk/pros/list/229055-0/1/baywa-ag-gmz-manching.html,Dealer/ Distributor,"Germany - Manching
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",80 ads,Weberstr. 9,85077,Manching - Germany,Manching (BY), Manching (BY), Manching (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tec-finder GmbH,https://www.agriaffaires.co.uk/pros/list/1997375-0/1/tec-finder-gmbh.html,Vehicle/equipment Wholesale,"Germany - Könnern
                                                    (ST)
                                                                        
                            (One other address)",,80 ads,Köthener Strasse 10,6420,Könnern - Germany,Könnern (ST), Könnern (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Vertriebsgesellschaft mbH -  Traktoren Centrum Molbergen,https://www.agriaffaires.co.uk/pros/list/500979-0/1/claas-vertriebsgesellschaft-mbh-traktoren-centrum-molbergen.html,Dealer/ Distributor,"Germany - Molbergen
                                                    (NI)
                                                                        
                            (2 other addresses)",Claas,79 ads,"FIRST CLAAS USED Center
                                                                    Ermker Weg 15 b",49696,Molbergen - Germany,Molbergen (NI), Molbergen (NI), Molbergen (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchheister Technik GmbH,https://www.agriaffaires.co.uk/pros/list/211488-0/1/buchheister-technik-gmbh.html,Dealer/ Distributor,"Germany - Nordstemmen
                                                    (NI)
                                                                        
                            (One other address)",Massey Ferguson,79 ads,Herkenser Str. 45,31863,Coppenbrügge - Germany,Coppenbrügge (NI), Nordstemmen (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruber Agrartechnik GmbH,https://www.agriaffaires.co.uk/pros/list/178260-0/1/gruber-agrartechnik-gmbh.html,Dealer/ Distributor,"Germany - Elsnig
                                                    (SN)
                                                                        
                            (4 other addresses)","Case IH,                                                                             Steyr,                                                                             Krone,                                                                             Kverneland,                                                                             Amazone,                                                                             Strautmann,                                                                             Schäffer,                                                                             Krpan,                                                                             Farmet,                                                                             ZDT",78 ads,Arnoldplatz 55,4319,Leipzig OT Engelsdorf - Germany,Leipzig OT Engelsdorf (SN), Elsnig (SN), Döbeln (SN), Engelsdorf (SN), Nordhausen OT Hesserode (SN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Dinkelsbühl,https://www.agriaffaires.co.uk/pros/list/683003-0/1/baywa-ag-gmz-dinkelsbuhl.html,Dealer/ Distributor,"Germany - Dinkelsbühl
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",78 ads,Von-Raumerstr. 7,91550,Dinkelsbühl - Germany,Dinkelsbühl (BY), Dinkelsbühl (BY), Dinkelsbühl (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa Obertraubling,https://www.agriaffaires.co.uk/pros/list/683066-0/1/baywa-obertraubling.html,Dealer/ Distributor,"Germany - Obertraubling
                                                    (BY)
                                                                        
                            (One other address)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",78 ads,Edekastraße 8,93083,Obertraubling - Germany,Obertraubling (BY), Obertraubling (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+S Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/149281-0/1/b-s-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Klietz
                                                    (ST)
                                                                        
                            (6 other addresses)",John Deere,77 ads,Lassahner Str. 21,19300,Grabow - Germany,Grabow (MV), Grabow (MV), Osterburg (MV), Neustadt-Dosse (MV), Klietz (ST), Neustadt Dosse (MV), Osterburg (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilhelm Mayer Gottenheim GmbH & Co KG,https://www.agriaffaires.co.uk/pros/list/269660-0/1/wilhelm-mayer-gottenheim-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Gottenheim
                                                    (BW)
                                                                        
                            (2 other addresses)","Case IH,                                                                             Steyr,                                                                             Krone,                                                                             Vaderstad,                                                                             Siloking,                                                                             Brantner,                                                                             Alö,                                                                             Binderberger",75 ads,Bötzinger Str. 12,79288,GOTTENHEIM - Germany,GOTTENHEIM (BW), Gottenheim (BW), Gottenheim (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sham Machinery,https://www.agriaffaires.co.uk/pros/list/535557-0/1/sham-machinery.html,Vehicle/equipment Wholesale,"Germany - Wuppertal
                                                    (NW)
                                                                        
                            (One other address)",,71 ads,Rauental 77A,42289,Wuppertal - Germany,Wuppertal (NW), Wuppertal (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türpisch Landmaschinen,https://www.agriaffaires.co.uk/pros/list/104056-0/1/turpisch-landmaschinen.html,Vehicle/equipment Wholesale,"Germany - Wetterzeube OT Haynsburg
                                                    (ST)",,70 ads,Am Weinberg 28,6722,Wetterzeube OT Haynsburg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTZ Chemnitz GmbH,https://www.agriaffaires.co.uk/pros/list/682580-0/1/ltz-chemnitz-gmbh.html,Dealer/ Distributor,"Germany - Hartmannsdorf
                                                    (SN)",Claas,70 ads,Mühlauer Straße 11,9232,Hartmannsdorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Bamberg T170,https://www.agriaffaires.co.uk/pros/list/745741-0/1/baywa-ag-bamberg-t170.html,Dealer/ Distributor,"Germany - München
                                                    (BY)
                                                                        
                            (2 other addresses)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",70 ads,Hafenstrasse 5,96052,Bamberg - Germany,Bamberg (BY), Bamberg (BY), München (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG GMZ Bamberg,https://www.agriaffaires.co.uk/pros/list/682981-0/1/baywa-ag-gmz-bamberg.html,Dealer/ Distributor,"Germany - Bamberg
                                                    (BY)
                                                                        
                            (One other address)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",70 ads,Hafenstraße 5,96052,Bamberg - Germany,Bamberg (BY), Bamberg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrartechnik Vertrieb Sachsen GmbH,https://www.agriaffaires.co.uk/pros/list/233917-0/1/agrartechnik-vertrieb-sachsen-gmbh.html,Dealer/ Distributor,"Germany - Ebersbach
                                                    (SN)
                                                                        
                            (2 other addresses)","New Holland,                                                                             JCB,                                                                             Holmer,                                                                             Krone,                                                                             Lemken,                                                                             Grimme,                                                                             Horsch,                                                                             Strautmann,                                                                             Annaburger,                                                                             GEA",70 ads,Zweitannenweg 3,1561,Ebersbach - Germany,Ebersbach (SN), Ebersbach (SN), Kriebstein (SN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Doormann&Kopplin GmbH&Co.KG,https://www.agriaffaires.co.uk/pros/list/178139-0/1/w-doormannkopplin-gmbhco-kg.html,Dealer/ Distributor,"Germany - Schoenberg
                                                    (SH)
                                                                        
                            (3 other addresses)","JCB,                                                                             Massey Ferguson,                                                                             Kuhn,                                                                             Joskin,                                                                             Horsch,                                                                             Rauch,                                                                             Kerner",69 ads,Ratjendorfer Weg 2-10,24217,Schönberg - Germany,Schönberg (SH), Elmenhorst/Lanken (MV), Lensahn (SH), Schoenberg (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harald Bruhns GmbH,https://www.agriaffaires.co.uk/pros/list/347583-0/1/harald-bruhns-gmbh.html,Dealer/ Distributor,"Germany - Quitzow
                                                    (BR)
                                                                        
                            (6 other addresses)",Fendt,67 ads,Postliner Straße 18h,19357,Karstädt - Germany,Karstädt (BR), Berlin (BR), Quitzow (BR), Holthusen (BR), Kiel (BR), Perleberg (BR), Trinwillershagen (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORCH LANDTECHNIK GMBH,https://www.agriaffaires.co.uk/pros/list/235399-0/1/worch-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Raguhn
                                                    (ST)
                                                                        
                            (5 other addresses)","Claas,                                                                             Kverneland,                                                                             Amazone,                                                                             Weidemann,                                                                             Strautmann,                                                                             Fliegl,                                                                             Rabe,                                                                             Müthing,                                                                             Bednar,                                                                             Brantner",65 ads,Nordstrasse 1,39264,SCHORA STADT ZERBST - Germany,SCHORA STADT ZERBST (ST), Genthin (ST), Kemberg OT Rackith (ST), Raguhn (ST), Niedere Börde OT Samswegen (ST), Zahna (Elster) (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Schmitt Gabelstapler,https://www.agriaffaires.co.uk/pros/list/799386-0/1/oliver-schmitt-gabelstapler.html,Vehicle/equipment Wholesale,"Germany - Rimbach
                                                    (HE)",,64 ads,Schloßstr. 66,64668,Rimbach - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWART OMV Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/38020-0/1/hawart-omv-landtechnik-gmbh.html,Vehicle/equipment Wholesale,"Germany - Klebe
                                                    (MV)
                                                                        
                            (8 other addresses)","John Deere,                                                                             Manitou,                                                                             Horsch",63 ads,Wulkenziner Str. 16,17033,D-Neubrandenburg / Weitin - Germany,D-Neubrandenburg / Weitin (MV), . (MV), Borkow (MV), Dahmen (MV), Kletzin (MV), Blumenholz (MV), Neuendorf (MV), Röbel  (MV), Klebe (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kattelmann landtechnik,https://www.agriaffaires.co.uk/pros/list/15270-0/1/kattelmann-landtechnik.html,Dealer/ Distributor,"Germany - Stuhr
                                                    (NI)",,60 ads,Im Meer 4,28816,Stuhr - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krull Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/500400-0/1/krull-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Lorup
                                                    (NI)
                                                                        
                            (One other address)",,60 ads,Ziegelkamp 5,26901,Lorup - Germany,Lorup (NI), Lorup (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wüstenberg Landtechnik Börm GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/85498-0/1/wustenberg-landtechnik-borm-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Bützow
                                                    (SH)
                                                                        
                            (9 other addresses)",,60 ads,Dorfstrasse 3,24863,Börm - Germany,Börm (SH), Bützow (SH), Kleeth (MV), Börm (SH), Bützow (SH), Dedelow (SH), Dedelow (SH), Jördenstorf (SH), Jördenstorf (SH), Kleeth (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maschinen Bader-Ritter GmbH & Co KG,https://www.agriaffaires.co.uk/pros/list/364556-0/1/maschinen-bader-ritter-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Freiburg
                                                    (BW)
                                                                        
                            (One other address)","Deutz-Fahr,                                                                             New Holland,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Kubota,                                                                             Reform,                                                                             Case,                                                                             Pöttinger,                                                                             Toro,                                                                             Stihl,                                                                             New Holland Agriculture,                                                                             Posch,                                                                             Kärcher,                                                                             Ritter,                                                                             Valmet,                                                                             Brielmaier,                                                                             Rapid,                                                                             Sepp Knüsel",59 ads,Bötzinger Straße 8,79111,Freiburg - Germany,Freiburg (BW), Freiburg (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podlasly Baumaschinen GmbH,https://www.agriaffaires.co.uk/pros/list/294611-0/1/podlasly-baumaschinen-gmbh.html,Vehicle/equipment Wholesale,"Germany - Zulauf
                                                    (SH)
                                                                        
                            (One other address)","Caterpillar,                                                                             Komatsu,                                                                             Volvo",58 ads,Zeiss-Straße 18,23626,Ratekau - Germany,Ratekau (SH), . (), Randers (DK), Rodengo-Saiano (IT), Zulauf (SH), . (IT), . (NO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau GmbH & Co. KG - Vohburg,https://www.agriaffaires.co.uk/pros/list/682347-0/1/claas-main-donau-gmbh-co-kg-vohburg.html,Dealer/ Distributor,"Germany - Vohburg
                                                    (BY)",Claas,57 ads,Kronwiedstr. 2,85088,Vohburg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faltner GmbH,https://www.agriaffaires.co.uk/pros/list/2009283-0/1/faltner-gmbh.html,Dealer/ Distributor,"Germany - Büchlberg
                                                    (BY)
                                                                        
                            (One other address)",,57 ads,Hauptstraße 20 - 24,94124,Büchlberg - Germany,Büchlberg (BY), Büchlberg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REBO Motorgeräte Handels- und Reparatur GmbH,https://www.agriaffaires.co.uk/pros/list/249897-0/1/rebo-motorgerate-handels-und-reparatur-gmbh.html,Dealer/ Distributor,"Germany - Cloppenburg
                                                    (NI)
                                                                        
                            (One other address)",John Deere,53 ads,Daimlerstraße 1,49661,Cloppenburg - Germany,Cloppenburg (NI), Cloppenburg (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wüstenberg Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/85490-0/1/wustenberg-landtechnik-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Niebüll
                                                    (SH)
                                                                        
                            (2 other addresses)",,51 ads,Am Schulwald 3-5,25813,Husum - Germany,Husum (SH), Börm (SH), Niebüll (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wüstenberg Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/85494-0/1/wustenberg-landtechnik-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Jördenstorf
                                                    (MV)
                                                                        
                            (5 other addresses)",,50 ads,Teterower Straße 60,17168,Jördestorf - Germany,Jördestorf (MV), Jördenstorf (MV), Bützow (MV), Dedelow (MV), Jördenstorf (MV), Kleeth (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schlüter Landtechnik,https://www.agriaffaires.co.uk/pros/list/190767-0/1/schluter-landtechnik.html,Dealer/ Distributor,"Germany - Büren
                                                    (NW)
                                                                        
                            (One other address)",,50 ads,Oberer Westring 26,33142,Büren - Germany,Büren (NW), Büren (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechnikCenter Grimma GmbH,https://www.agriaffaires.co.uk/pros/list/681919-0/1/technikcenter-grimma-gmbh.html,Dealer/ Distributor,"Germany - Grimma / OT Mutzschen
                                                    (SN)",Claas,50 ads,Gewerbestraße 1,4688,Grimma / OT Mutzschen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & L Connect GmbH,https://www.agriaffaires.co.uk/pros/list/34899-0/1/s-l-connect-gmbh.html,Dealer/ Distributor,"Germany - Sonnewalde
                                                    (BR)
                                                                        
                            (11 other addresses)",John Deere,50 ads,John-Deere-Straße 4,3249,Sonnenwalde - Germany,Sonnenwalde (BR), Herzberg/Elster (BR), Löbau (BR), Dorf (BW), Gerichshain (BR), Hohenseefeld (BR), Ragow/Merz OT Ragow (BR), Rauschwitz (BR), Rochlitz (BR), Sonnewalde (BR), Großenhain (BR), Jahnatal (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLT Brandenburger Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/32833-0/1/blt-brandenburger-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Nauen
                                                    (BR)
                                                                        
                            (9 other addresses)","Claas,                                                                             Kverneland,                                                                             Amazone,                                                                             Vaderstad,                                                                             Lemken,                                                                             Weidemann,                                                                             Samson,                                                                             Strautmann,                                                                             Tebbe,                                                                             Honda,                                                                             Husqvarna,                                                                             Köckerling,                                                                             Müthing,                                                                             Zunhammer",50 ads,Liebenthaler Bahnhof 2,16909,Heiligengrabe OT Liebenthal - Germany,Heiligengrabe OT Liebenthal (BR), Nauen (BR), Löwenberger Land (BR), Angermünde (BR), Rhinow (BR), Angermünde / OT Kerkow (BR), Heiligengrabe OT Liebenth (BR), Löwenberger Land (BR), Nauen (BR), Rhinow (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA Landtechnik GmbH Zweigniederlassung,https://www.agriaffaires.co.uk/pros/list/1096082-0/1/lva-landtechnik-gmbh-zweigniederlassung.html,Dealer/ Distributor,"Germany - Neuhardenberg
                                                    (BR)
                                                                        
                            (4 other addresses)",,50 ads,Kleptow 25H,17291,Schenkenberg - Germany,Schenkenberg (BR), Nauen (BR), Neuhardenberg (BR), Liebenwalde / Neuholland (BR), Brieselang / Zeestow (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
